69,https://www.wikidata.org/wiki/Property:P69,$s studied at $o,,,,,,,,,,,,,,,,,,,,,,,,,,,
fact,example,bool,example,bool_answer,example_output,set,example,set_projection,example_output,count,example,count_projection,example_output,argmin,example,argmin_projection,example_output,argmax,example,argmax_projection,example_output,min,example,min_projection,example_output,max,example,max_projection,example_output
$s studied at $o,Sebastian Riedel studied at University of Edinburgh,Did $s study at $o?,Did Sebastian Riedel study at University of Edinburgh?,TRUE,TRUE,Where has $s studied?,Where has Sebastian Riedel studied?,$o,University of Edinburgh,How many people study at $o?,How many people study at University of Edinburgh?,$s,Sebastian Riedel,What university has the smallest population?,What university has the smallest population?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,What university has the highest population?,What university has the highest population?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
$s's alma mater is $o,Sebastian Riedel's alma mater is University of Edinburgh,Did $s get their degree from $o?,Did Sebastian Riedel get their degree from University of Edinburgh?,TRUE,TRUE,Where has $s gone to university?,Where has Sebastian Riedel gone to university?,$o,University of Edinburgh,Whow many people study?,Whow many people study?,$s,Sebastian Riedel,What university has the fewest students?,What university has the fewest students?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,What university has the most students?,What university has the most students?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
$s did their undergraduate at $o,Sebastian Riedel did their undergraduate at University of Edinburgh,Did $s get his or her degree from $o?,Did Sebastian Riedel get his or her degree from University of Edinburgh?,TRUE,TRUE,Where has $s been a student?,Where has Sebastian Riedel been a student?,$o,University of Edinburgh,How many degrees does $s have?,How many degrees does Sebastian Riedel have?,$o,University of Edinburgh,What is the smallest school?,What is the smallest school?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,What is the biggest school?,What is the biggest school?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
$s studied their undergraduate at $o,Sebastian Riedel studied their undergraduate at University of Edinburgh,Did $s get his or her degree at $o?,Did Sebastian Riedel get his or her degree at University of Edinburgh?,TRUE,TRUE,Where did $s get their degree?,Where did Sebastian Riedel get their degree?,$o,University of Edinburgh,How many places has $s studied?,How many places has Sebastian Riedel studied?,$o,University of Edinburgh,What is is the smallest school?,What is is the smallest school?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,What is the biggest university?,What is the biggest university?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
$s studied their degree at $o,Sebastian Riedel studied their degree at University of Edinburgh,Did $s get their degree at $o?,Did Sebastian Riedel get their degree at University of Edinburgh?,TRUE,TRUE,List places $s has studied,List places Sebastian Riedel has studied,$o,University of Edinburgh,How many students are at $o?,How many students are at University of Edinburgh?,$s,Sebastian Riedel,What school has the fewest students?,What school has the fewest students?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,What school has the most students?,What school has the most students?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
$s was a student at $o,Sebastian Riedel was a student at University of Edinburgh,Was the alma mater of $s $o?,Was the alma mater of Sebastian Riedel University of Edinburgh?,TRUE,TRUE,List students at $o,List students at University of Edinburgh,$s,Sebastian Riedel,How many people graduated from $o?,How many people graduated from University of Edinburgh?,$s,Sebastian Riedel,What is the least popular university?,What is the least popular university?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,What is the most popular university?,What is the most popular university?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
One of the students at $o was $s,One of the students at University of Edinburgh was Sebastian Riedel,Was $s a student at $o?,Was Sebastian Riedel a student at University of Edinburgh?,TRUE,TRUE,Who studied at $o?,Who studied at University of Edinburgh?,$s,Sebastian Riedel,,,,,Where have the fewest people studied?,Where have the fewest people studied?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,Where have the most people studied?,Where have the most people studied?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
,,Was $s studying at $o?,Was Sebastian Riedel studying at University of Edinburgh?,TRUE,TRUE,Who has gone to university?,Who has gone to university?,$s,Sebastian Riedel,,,,,Which university has had the fewest students?,Which university has had the fewest students?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,Which university has had the most students?,Which university has had the most students?,$o [SEP] $s,University of Edinburgh [SEP] Sebastian Riedel,,,,,,,,
,,Was $s a member of $o?,Was Sebastian Riedel a member of University of Edinburgh?,TRUE,TRUE,Who went to $o?,Who went to University of Edinburgh?,$s,Sebastian Riedel,,,,,Who has studied the least?,Who has studied the least?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,Who has studied the most?,Who has studied the most?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,,,,,,,,
,,,,,,,,,,,,,,Who has been to the fewest schools?,Who has been to the fewest schools?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,Who has been to the most schools?,Who has been to the most schools?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,,,,,,,,
,,,,,,,,,,,,,,Who has been to the fewest universities?,Who has been to the fewest universities?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,Who has been to the most universities?,Who has been to the most universities?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,,,,,,,,
,,,,,,,,,,,,,,Who has got the fewest degrees?,Who has got the fewest degrees?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,Who has got the most degrees?,Who has got the most degrees?,$s [SEP] $o,Sebastian Riedel [SEP] University of Edinburgh,,,,,,,,